,neighborhood
Central Business District,12197
Shadyside,5430
South Side Flats,4866
Squirrel Hill South,3743
Mount Washington,3567
Central Lawrenceville,3150
Squirrel Hill North,2928
Carrick,2923
Brookline,2909
Bloomfield,2897
Greenfield,2349
Beechview,2183
North Oakland,2062
Lower Lawrenceville,2032
Central Northside,2022
Central Oakland,1990
Strip District,1978
East Liberty,1976
South Side Slopes,1969
Highland Park,1584
Upper Lawrenceville,1577
Perry North,1507
Morningside,1455
Point Breeze,1448
Bluff,1390
East Allegheny,1340
Perry South,1321
Marshall-Shadeland,1316
Allentown,1277
North Shore,1221
South Oakland,1145
West Oakland,1091
Knoxville,1081
Garfield,1079
Brighton Heights,1077
Hazelwood,1058
Overbrook,1023
Beltzhoover,946
Duquesne Heights,924
Sheraden,842
Homewood South,801
Homewood North,779
Spring Hill-City View,752
Arlington,701
Banksville,686
Lincoln-Lemington-Belmar,686
East Hills,669
Larimer,667
Crawford-Roberts,621
Stanton Heights,619
Crafton Heights,610
Troy Hill,571
Manchester,559
Polish Hill,525
Point Breeze North,522
Friendship,519
Middle Hill,513
Allegheny West,512
Westwood,495
Upper Hill,484
Lincoln Place,461
California-Kirkbride,452
Elliott,432
Allegheny Center,404
Chateau,388
Spring Garden,315
Regent Square,294
Homewood West,283
Bon Air,281
Fineview,263
West End,259
South Shore,250
Swisshelm Park,202
Windgap,191
Mt. Oliver,187
East Carnegie,173
Terrace Village,155
Esplen,122
Oakwood,115
Chartiers City,110
Hays,102
Bedford Dwellings,101
New Homestead,94
St. Clair,85
Fairywood,80
Ridgemont,67
Northview Heights,64
Summer Hill,59
Glen Hazel,48
Arlington Heights,28
Mount Oliver Borough,22
